nohup: ignoring input
Using cache found in /home/bahadir/.cache/torch/hub/facebookresearch_dino_main
/home/bahadir/miniconda3/envs/Base/lib/python3.8/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
/home/bahadir/miniconda3/envs/Base/lib/python3.8/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=None`.
  warnings.warn(msg)
Prev train example count: 1644, cur train example count: 156
Image dir: 156, Image labels: 156
Image dir: 7, Image labels: 7
Image dir: 1592, Image labels: 1592
Epoch: 55, Train loss: 0.007, Train accuracy: 1.000, Val loss: 0.001, Val accuracy: 1.000
Epoch: 56, Train loss: 0.005, Train accuracy: 1.000, Val loss: 0.001, Val accuracy: 1.000
Epoch: 57, Train loss: 0.006, Train accuracy: 1.000, Val loss: 0.001, Val accuracy: 1.000
Epoch: 58, Train loss: 0.010, Train accuracy: 1.000, Val loss: 0.002, Val accuracy: 1.000
Epoch: 59, Train loss: 0.004, Train accuracy: 1.000, Val loss: 0.002, Val accuracy: 1.000
Epoch: 60, Train loss: 0.005, Train accuracy: 1.000, Val loss: 0.002, Val accuracy: 1.000
Epoch: 61, Train loss: 0.007, Train accuracy: 1.000, Val loss: 0.001, Val accuracy: 1.000
Epoch: 62, Train loss: 0.005, Train accuracy: 1.000, Val loss: 0.001, Val accuracy: 1.000
Epoch: 63, Train loss: 0.006, Train accuracy: 1.000, Val loss: 0.001, Val accuracy: 1.000
Epoch: 64, Train loss: 0.006, Train accuracy: 1.000, Val loss: 0.001, Val accuracy: 1.000
Epoch: 65, Train loss: 0.005, Train accuracy: 1.000, Val loss: 0.001, Val accuracy: 1.000
Epoch: 66, Train loss: 0.013, Train accuracy: 1.000, Val loss: 0.001, Val accuracy: 1.000
Epoch: 67, Train loss: 0.005, Train accuracy: 1.000, Val loss: 0.001, Val accuracy: 1.000
Epoch: 68, Train loss: 0.006, Train accuracy: 1.000, Val loss: 0.001, Val accuracy: 1.000
Epoch: 69, Train loss: 0.008, Train accuracy: 1.000, Val loss: 0.001, Val accuracy: 1.000
Epoch: 70, Train loss: 0.009, Train accuracy: 1.000, Val loss: 0.001, Val accuracy: 1.000
Epoch: 71, Train loss: 0.005, Train accuracy: 1.000, Val loss: 0.001, Val accuracy: 1.000
Epoch: 72, Train loss: 0.009, Train accuracy: 1.000, Val loss: 0.002, Val accuracy: 1.000
Epoch: 73, Train loss: 0.010, Train accuracy: 1.000, Val loss: 0.001, Val accuracy: 1.000
Epoch: 74, Train loss: 0.010, Train accuracy: 1.000, Val loss: 0.002, Val accuracy: 1.000
Epoch: 75, Train loss: 0.009, Train accuracy: 1.000, Val loss: 0.002, Val accuracy: 1.000
Epoch: 76, Train loss: 0.007, Train accuracy: 1.000, Val loss: 0.002, Val accuracy: 1.000
Epoch: 77, Train loss: 0.013, Train accuracy: 1.000, Val loss: 0.002, Val accuracy: 1.000
Epoch: 78, Train loss: 0.005, Train accuracy: 1.000, Val loss: 0.001, Val accuracy: 1.000
Traceback (most recent call last):
  File "train.py", line 205, in <module>
    main(args)
  File "train.py", line 193, in main
    best_model = ResNetScratch(out_dim=int(dataset_type[0]))
NameError: name 'ResNetScratch' is not defined
